id,default_code,nombre,syscom_id,motivo
1963,SER-CD,SERVICIO DE CAMBIO DE DOMICILIO,,manual_no_syscom
1969,,Plan Intercambio 10mb,,manual_no_syscom
1970,,Plan Intercambio 15mb,,manual_no_syscom
1971,,Plan Intercambio 30MB/10MB,,manual_no_syscom
1974,R15MBP36,INTERNET PLAN RENTA 15MB/5MB 36 MESES,,manual_no_syscom
1977,R30MBP36,INTERNET PLAN RENTA 30MB/15MB,,manual_no_syscom
1997,,Cable de Red Cat6 1m,,manual_no_syscom
1998,,Conector RJ45,,manual_no_syscom
1999,,Soporte para Antena,,manual_no_syscom
2001,MON8,RASTREO VEHICULAR PLATAFORMA TRACKSOLID ,,manual_no_syscom
2002,MBASICO-6,MEMBRESIA BASICA DE MONITOREO 24/7 SEMESTRAL,,manual_no_syscom
2003,MBASICO-12,MEMBRESIA BASICA DE MONITOREO 24/7 ANUAL,,manual_no_syscom
2004,MESTANDAR-6,MEMBRESIA ESTANDAR MONITOREO 24/7 SEMESTRAL,,manual_no_syscom
2006,MPREMIUM-6,MEMBRESIA PREMIUM DE MONITOREO 24/7 SEMESTRAL,,manual_no_syscom
2007,MPREMIUM-12,MEMBRESIA PREMIUM DE MONITOREO 24/7 ANUAL,,manual_no_syscom
2008,P12M20MB,PLAN INTERNET COMODATO 20MB/7MB ,,manual_no_syscom
2009,TK-Renta36A,PLAN RENTA A 36 MESES PAGO ANUAL DE EQUIPO DE ALARMA,,manual_no_syscom
2010,TK-Renta36M,PLAN RENTA A 36 MESES PAGO MENSUAL DE EQUIPO DE ALARMA ,,manual_no_syscom
2011,TK-Renta36S,PLAN RENTA A 36 MESES PAGO SEMESTRAL DE EQUIPO DE ALARMA,,manual_no_syscom
2012,DOMINIO,SERVICIO DE NOMBRE DE DOMINIO PAGO ANUAL,,manual_no_syscom
2013,MESTANDAR-3P,"MEMBRESIA ESTANDAR TRIMESTRAL 24/7  SUC.ROBERTO GUERRA, JAUMAVE, SEXTA, AV. DEL NIÑO, LAURO VILLAR, SENDERO, BRISAS, MIGUEL ALEMAN Y VALLE HERMOSO. ",,manual_no_syscom
2014,MON1T,Servicio MON1T,,manual_no_syscom
2015,MBASICO-3,MEMBRESIA BASICA MONITOREO 24/7 TRIMESTRAL,,manual_no_syscom
2017,,Generic Subscription,,manual_no_syscom
2018,RECARGO,RECARGO POR PAGO ATRASADO,,manual_no_syscom
2019,,Reconnection Fee,,manual_no_syscom
2020,MESTANDAR-3,MEMBRESIA ESTANDAR TRIMESTRAL 24/7 ,,manual_no_syscom
2021,,Smake,,manual_no_syscom
2060,,Tracksolid,,manual_no_syscom
2061,,Tracksolid,,manual_no_syscom
11678,,instalacion,,manual_no_syscom
11679,,Instalacion de camara,,manual_no_syscom
11680,INS-001,Instalacion de Equipo de Control de Asistencia ,,manual_no_syscom
11682,E100MB,Internet Dedicado Empresarial 100/100 Mb con IP Fija ,,manual_no_syscom
11684,RMOVIL,Rastreo Móvil Celular,,manual_no_syscom
11685,SENTICAR-GPS-VEH,GPS Vehicular SentiCar con Paro de Motor,,manual_no_syscom
11686,SENTICAR-PLAN,Plan de Rastreo SentiCar (mensual),,manual_no_syscom
11687,SENTICAR-GPS-FLEET,GPS SentiCar para Flotillas (Avanzado),,manual_no_syscom
11688,SENTICAR-GPS-ASSET,GPS SentiCar para Activos y Carga (Solar IP67),,manual_no_syscom
17943,MON15,RATREO VEHICULAR PLATAFORMA BASICA SENTICAR,,manual_no_syscom
17944,MON14-12M,RATREO VEHICULAR PLATAFORMA BASICA SMAKE  ANUAL,,manual_no_syscom
17945,R10MBSEM,PLAN INTERNET 10MB/3MB SEMESTRAL,,manual_no_syscom
17946,R30MBSEM,PLAN INTERNET 30MB/15MB SEMESTRAL,,manual_no_syscom
17947,MON8SEM,RASTREO VEHICULAR PLATAFORMA TRACKSOLID SEMESTRAL,,manual_no_syscom
17948,R25MBTRI,PLAN INTERNET 25MB/10MB TRIMESTRAL,,manual_no_syscom
17949,R20MBBIM,PLAN INTERNET 20MB/7MB BIMESTRAL,,manual_no_syscom
10,MBASICO,MEMBRESIA BASICA DE MONITOREO 24/7 MENSUAL,,movimiento
11,R30MB,PLAN INTERNET 30MB/15MB,,movimiento
12,MESTANDAR,MEMBRESIA ESTANDAR MONITOREO 24/7 MENSUAL,,movimiento
27,E8-TURBO-G2W,Turret TURBOHD 2 Megapixel (1080p) / METÁLICA / Gran Angular 103° / Lente 2.8 mm / IR EXIR 20 Mts / Exterior IP66 / TVI-AHD-CVI-CVBS / dWDR,167224,movimiento
282,DVR-208G-M1(C),DVR 8 Canales TurboHD + 2 Canales IP / 2 Megapíxel (1080P) Lite / Acusense Lite (Evita Falsas Alarmas) / Audio por Coaxitron / 1 Bahía de Disco Duro / H.265+ / 1 Canal de Audio / Salida de Vídeo Full HD ,224562,movimiento
313,5834-4,Control remoto tipo llavero de 4 botones con LED / Batería de Larga Duración 3-5 años,36953,movimiento
322,VISTA48MN02/6160RF,"(2 Años 4GLTEM/5G ILIMITADO INCLUIDO)  Kit Vista48LA con comunicador 4GLTEM/5G MN01, Teclado, Gabinete, Bateria y Transformador",211735,movimiento
329,6150,Teclado LCD de palabras fijas complatible con paneles de la serie VISTA,142781,movimiento
344,958,Contacto magnético de uso rudo para piso,9401,movimiento
359,VISTA48-60RF-MN01,"(2 Años 4GLTEM/5G ILIMITADO INCLUIDO)  Kit Vista48LA con comunicador 4GLTEM/5G MN01, Teclado, Gabinete y Transformador",217382,movimiento
379,PL-8C-15DC,Fuente de Poder Metálica / Para 8 Cámaras / Ajustables a 12 o 13.5 o 15 Vcc / 8 Amperes / Instalación en Pared.,218066,movimiento
